Var1,Var2,Var3,Var4a,Var4b,Var4c,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Ex.KLD Dryer
CTL,09/02/2018,0,1,0,0,78.10,1.03,65.43,1.02,70.45,3.32,65.95,20.80,12.86,14.8
CTL,09/02/2018,0,0,1,0,77.98,1.51,65.63,1.23,69.16,3.94,60.77,21.39,12.93,14.8
CTL,09/02/2018,0,0,1,0,77.87,1.48,65.69,1.27,68.92,4.05,59.84,21.90,13.04,14.8
SEL,13/01/2018,0,1,0,0,78.84,23.91,66.45,20.17,64.93,5.47,56.53,20.77,12.23,15.2
SEL,13/01/2018,0,0,1,0,78.77,22.51,66.54,19.02,64.57,5.52,56.88,20.90,12.62,15.2
SEL,13/01/2018,0,0,0,1,77.98,15.01,66.08,12.75,66.42,5.33,53.81,21.81,12.22,15.2
SEL,13/01/2018,0,0,0,1,77.95,14.86,66.08,12.63,66.43,5.34,53.43,21.90,13.05,15.2
SFM,03/01/2018,1,1,0,0,79.34,1.23,66.22,1.26,66.45,4.16,63.38,15.61,15.25,13.81
TF,03/01/2018,1,1,0,0,79.34,1.23,66.22,1.26,66.45,4.16,63.38,15.61,12.8,13.59
TFPM,13/01/2018,1,1,0,0,79.66,1.53,66.49,1.38,66.39,5.55,56.60,23.23,13.56,14.04
TFPM,13/01/2018,1,1,0,0,79.41,30.44,66.58,25.53,66.48,5.06,57.15,21.44,13.41,14.04
WFF,18/01/2018,1,1,0,0,78.12,1.53,66.69,1.40,62.22,5.44,55.67,20.51,13.47,14.67
WFP,03/01/2018,1,0,0,1,78.78,15.40,66.38,13.01,65.07,5.27,57.06,19.23,14.76,14.6
WM,05/01/2018,1,1,0,0,79.01,1.54,65.22,1.46,63.43,4.92,59.55,15.43,13.38,13.78
YTMN,04/05/2018,0,0,0,1,80.87,14.44,66.33,11.89,74.52,3.99,68.05,16.60,14.35,15.03
